0,0,1,5,2,2,3,3,5,0,3,2,4,1,5
1,1,1,11,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
2,4,0,4,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
3,4,0,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
4,5,0,8,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
5,5,0,7,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
6,5,0,8,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
7,6,0,9,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
8,6,0,9,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
9,7,0,10,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
10,8,0,11,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
11,9,0,12,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
12,10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
